starttime	seconds	ctime	dtime	ttime	wait
Fri Oct 13 20:18:09 2023	1697253489	0	788	788	608
Fri Oct 13 20:18:14 2023	1697253494	0	789	789	453
Fri Oct 13 20:18:16 2023	1697253496	0	789	789	714
Fri Oct 13 20:18:08 2023	1697253488	5	784	789	516
Fri Oct 13 20:18:17 2023	1697253497	0	789	789	760
Fri Oct 13 20:18:14 2023	1697253494	1	789	789	396
Fri Oct 13 20:18:06 2023	1697253486	0	790	790	727
Fri Oct 13 20:18:14 2023	1697253494	0	791	791	389
Fri Oct 13 20:18:09 2023	1697253489	0	792	792	588
Fri Oct 13 20:18:05 2023	1697253485	0	793	793	420
Fri Oct 13 20:18:09 2023	1697253489	1	792	793	219
Fri Oct 13 20:18:07 2023	1697253487	0	794	794	678
Fri Oct 13 20:18:15 2023	1697253495	0	795	795	283
Fri Oct 13 20:18:09 2023	1697253489	0	797	797	676
Fri Oct 13 20:18:09 2023	1697253489	0	797	797	728
Fri Oct 13 20:18:12 2023	1697253492	0	798	798	479
Fri Oct 13 20:18:07 2023	1697253487	1	797	798	691
Fri Oct 13 20:18:11 2023	1697253491	0	798	798	751
Fri Oct 13 20:18:17 2023	1697253497	1	798	798	740
Fri Oct 13 20:18:14 2023	1697253494	0	799	799	465
Fri Oct 13 20:18:15 2023	1697253495	0	799	799	773
Fri Oct 13 20:18:14 2023	1697253494	0	800	800	768
Fri Oct 13 20:18:05 2023	1697253485	0	800	800	448
Fri Oct 13 20:18:14 2023	1697253494	0	800	800	385
Fri Oct 13 20:18:11 2023	1697253491	0	802	802	784
Fri Oct 13 20:18:14 2023	1697253494	0	803	803	471
Fri Oct 13 20:18:07 2023	1697253487	0	804	804	697
Fri Oct 13 20:18:07 2023	1697253487	0	804	804	713
Fri Oct 13 20:18:16 2023	1697253496	0	804	804	794
Fri Oct 13 20:18:14 2023	1697253494	1	804	805	473
Fri Oct 13 20:18:09 2023	1697253489	0	805	805	736
Fri Oct 13 20:18:14 2023	1697253494	0	805	805	503
Fri Oct 13 20:18:09 2023	1697253489	0	805	805	612
Fri Oct 13 20:18:09 2023	1697253489	0	805	805	747
