starttime	seconds	ctime	dtime	ttime	wait
Fri Oct 13 20:17:30 2023	1697253450	2	1380	1382	937
Fri Oct 13 20:17:30 2023	1697253450	1	1382	1383	802
Fri Oct 13 20:17:30 2023	1697253450	1	1383	1383	857
Fri Oct 13 20:17:24 2023	1697253444	1	1383	1384	896
Fri Oct 13 20:17:30 2023	1697253450	0	1385	1385	852
Fri Oct 13 20:17:30 2023	1697253450	0	1386	1386	841
Fri Oct 13 20:17:30 2023	1697253450	0	1386	1386	878
Fri Oct 13 20:17:30 2023	1697253450	0	1387	1387	861
Fri Oct 13 20:17:30 2023	1697253450	1	1387	1387	815
Fri Oct 13 20:17:34 2023	1697253454	0	1388	1388	1067
Fri Oct 13 20:17:30 2023	1697253450	1	1389	1389	858
Fri Oct 13 20:17:25 2023	1697253445	3	1391	1393	777
Fri Oct 13 20:17:30 2023	1697253450	0	1394	1394	864
Fri Oct 13 20:17:30 2023	1697253450	0	1395	1395	892
Fri Oct 13 20:17:30 2023	1697253450	0	1395	1395	504
Fri Oct 13 20:17:30 2023	1697253450	1	1403	1404	938
Fri Oct 13 20:17:30 2023	1697253450	0	1406	1406	878
Fri Oct 13 20:17:25 2023	1697253445	1	1406	1407	847
Fri Oct 13 20:17:30 2023	1697253450	0	1410	1410	827
Fri Oct 13 20:17:25 2023	1697253445	0	1411	1411	996
Fri Oct 13 20:17:28 2023	1697253448	1	1414	1414	1084
Fri Oct 13 20:17:30 2023	1697253450	0	1415	1415	852
Fri Oct 13 20:17:25 2023	1697253445	0	1418	1418	801
Fri Oct 13 20:17:25 2023	1697253445	2	1421	1423	911
Fri Oct 13 20:17:30 2023	1697253450	0	1426	1426	894
Fri Oct 13 20:17:28 2023	1697253448	1	1426	1427	1052
Fri Oct 13 20:17:25 2023	1697253445	0	1429	1429	822
Fri Oct 13 20:17:30 2023	1697253450	0	1433	1433	929
Fri Oct 13 20:17:30 2023	1697253450	0	1433	1433	987
Fri Oct 13 20:17:30 2023	1697253450	1	1433	1433	904
Fri Oct 13 20:17:30 2023	1697253450	1	1433	1434	525
Fri Oct 13 20:17:25 2023	1697253445	1	1435	1435	826
Fri Oct 13 20:17:30 2023	1697253450	1	1434	1435	528
Fri Oct 13 20:17:30 2023	1697253450	0	1438	1438	985
Fri Oct 13 20:17:28 2023	1697253448	0	1439	1439	838
Fri Oct 13 20:17:25 2023	1697253445	0	1441	1441	833
Fri Oct 13 20:17:30 2023	1697253450	0	1442	1442	940
Fri Oct 13 20:17:30 2023	1697253450	0	1444	1444	999
Fri Oct 13 20:17:30 2023	1697253450	1	1459	1460	981
Fri Oct 13 20:17:25 2023	1697253445	1	1465	1466	905
Fri Oct 13 20:17:28 2023	1697253448	0	1468	1468	1029
Fri Oct 13 20:17:28 2023	1697253448	0	1471	1471	908
Fri Oct 13 20:17:34 2023	1697253454	0	1474	1474	1232
Fri Oct 13 20:17:25 2023	1697253445	1	1474	1475	875
Fri Oct 13 20:17:28 2023	1697253448	1	1475	1476	933
